,CoinName,0,1,class
4,Ethereum,5.2591047,18.40597,3
5,Litecoin,4.81465,5.672201,3
7,Monero,0.7041199,15.009621,3
8,Ethereum Classic,5.2591,18.406002,3
9,ZCash,12.840614,15.5490055,3
11,DigiByte,15.256482,4.03821,3
14,ProsperCoin,7.998606,3.2240415,3
17,Argentum,6.934738,5.3964243,3
20,MyriadCoin,15.254924,4.039135,3
21,MoonCoin,-0.81640714,9.918271,3
23,SexCoin,3.6194525,7.6964746,3
24,Quatloo,6.3312764,6.235003,3
28,Digitalcoin ,6.453455,4.9170756,3
30,Catcoin,7.502079,3.0809708,3
32,CannaCoin,8.238795,2.9827912,3
34,CasinoCoin,3.257361,1.0895803,3
36,Verge,15.2551985,4.039073,3
38,EarthCoin,2.1297314,11.065309,3
39,E-Gulden,7.427508,3.735805,3
40,Einsteinium,2.6653311,7.7426023,3
41,Emerald,7.4473867,4.2549677,3
43,FlutterCoin,9.308538,1.3539099,3
44,Franko,8.03027,2.4155643,3
46,GrandCoin,5.239076,10.074671,3
47,GlobalCoin,4.9033456,5.503503,3
48,GoldCoin,5.5993905,5.3811207,3
51,Infinite Coin,-0.28981382,9.325419,3
54,KrugerCoin,3.0977533,7.6716046,3
55,LuckyCoin,7.918002,3.9591959,3
56,Litebar ,8.705947,2.343276,3
58,MegaCoin,6.3492594,4.7984147,3
59,MediterraneanCoin,6.137718,7.9539924,3
61,MinCoin,8.61215,3.319658,3
65,NobleCoin,2.9661686,10.789522,3
67,NyanCoin,2.3131976,7.6886353,3
73,RonPaulCoin,7.739141,2.688207,3
74,StableCoin,4.570747,7.524498,3
75,SmartCoin,6.716847,4.871887,3
79,TeslaCoin,15.64245,3.7783184,3
89,ViaCoin,7.1923976,3.8116033,3
90,VeriCoin,8.346024,1.1352328,3
91,Vertcoin,-0.86251014,0.91252935,3
92,WorldCoin,3.6808558,7.7357883,3
94,Crypti,15.642427,3.7783353,3
98,ByteCoin,20.640673,9.7096815,3
99,DigitalNote ,21.803003,9.493502,3
100,BurstCoin,3.2446544,1.0560349,3
102,MonaCoin,4.471061,5.9229927,3
105,Gulden,5.380344,9.795762,3
107,PesetaCoin,3.3285644,7.0538263,3
109,Wild Beast Coin,8.573009,2.3126116,3
111,Flo,3.2218556,7.035759,3
114,ArtByte,5.243255,10.071398,3
115,Folding Coin,4.8365974,11.166725,3
117,Unitus,15.25476,4.039219,3
119,OmniCron,8.046424,2.4423802,3
121,GreenCoin,3.0206938,10.778067,3
122,Cryptonite,4.4319983,9.047506,3
123,MasterCoin,9.025356,2.6018155,3
125,1Credit,0.6639762,10.183966,3
129,Crypto,11.217793,9.065457,3
134,Song Coin,4.686383,7.299353,3
135,BitZeny,4.068862,7.619938,3
137,Expanse,5.259104,18.40598,3
139,Siacoin,1.5846279,3.8887382,3
145,Revolution VR,2.8138928,7.4764943,3
146,HOdlcoin,5.028872,3.3758113,3
149,Gamecredits,4.6234636,5.7105904,3
156,SoilCoin,-0.45804197,5.651564,3
157,YoCoin,5.415453,6.8327866,3
158,SibCoin,6.137718,7.9539924,3
162,SafeExchangeCoin,3.2577434,1.0872395,3
164,Francs,8.243331,3.4133856,3
171,Omni,8.798235,2.3657725,3
172,Let it Ride,7.1292124,-3.766735,3
179,Komodo,12.638734,16.644287,3
182,Karbo,22.434586,9.405594,3
187,Circuits of Value,15.254841,4.0391684,3
189,DopeCoin,3.4788995,7.239522,3
192,Swiscoin,9.718141,4.6093388,3
193,Shilling,7.326166,3.5651891,3
198,ZCoin,8.301037,12.457582,3
201,GanjaCoin V2,55.52557,29.503422,3
204,Elementrem,5.2591033,18.40598,3
205,ZClassic,12.840617,15.549006,3
206,ARK,12.252536,-2.0480459,3
208,KiloCoin,3.6700747,10.384083,3
224,Cannabis Industry Coin,22.413492,9.375438,3
231,OsmiumCoin,8.990253,2.7202227,3
232,Bikercoins,21.982016,9.268053,3
233,HexxCoin,11.217794,9.065457,3
240,Citadel,0.70411986,15.009619,3
242,FirstCoin,7.1829925,1.3749487,3
243,BeaverCoin,8.934258,2.9068074,3
246,Zero,12.840605,15.549007,3
248,Canada eCoin,3.9775803,6.1152,3
249,Zoin,11.217794,9.065457,3
251,DubaiCoin,7.627056,9.177241,3
255,EB3coin,5.435349,9.503824,3
266,BenjiRolls,7.1415634,4.2593303,3
273,EquiTrader,6.684888,5.67954,3
274,QTUM,7.1292133,-3.7667456,3
275,Quantum Resistant Ledger,0.7041199,15.00962,3
277,Dynamic,9.775719,6.1882234,3
278,Nano,1.5846881,3.888703,3
279,ChanCoin,6.137718,7.9539924,3
280,Dinastycoin,21.97003,9.992673,3
285,Unify,7.98267,3.9149637,3
287,SocialCoin,6.8832965,5.6967416,3
291,LeviarCoin,21.98044,9.268889,3
293,Bitcore,6.137718,7.9539924,3
294,gCn Coin,-0.7754303,9.719968,3
302,Vechain,0.30907705,8.947528,3
303,Sojourn Coin,3.6633453,10.383837,3
305,NewYorkCoin,-0.30285767,9.240366,3
306,FrazCoin,8.139465,3.5810108,3
307,Kronecoin,6.3294725,5.9768033,3
308,AdCoin,5.626681,6.2024074,3
309,Linx,5.5867643,6.2034316,3
312,Sumokoin,22.468016,9.794456,3
316,BitcoinZ,12.909121,15.492419,3
321,Rupee,-0.8730247,0.8865138,3
322,Bitcoin Gold,12.840602,15.549002,3
327,Pirl,-0.45804203,5.651564,3
330,eBoost,3.975178,6.1157374,3
336,Ellaism,5.2590976,18.406017,3
339,Lamden Tau,12.252537,-2.0480144,3
342,SHIELD,15.254818,4.0391793,3
344,UltraNote,21.520817,9.665868,3
345,BitCoal,22.158848,9.243907,3
346,DaxxCoin,5.2592053,18.406183,3
350,Lethean,0.70412606,15.00958,3
353,PopularCoin,3.486499,10.591416,3
360,IrishCoin,5.6426945,5.320346,3
367,TokenPay,7.1292133,-3.7667449,3
368,1717 Masonic Commemorative Token,5.21028,18.793287,3
369,My Big Coin,9.795326,2.1830256,3
370,TurtleCoin,19.74794,9.725703,3
371,MUNcoin,6.137718,7.9539924,3
373,Niobio Cash,22.488615,9.552867,3
374,ShareChain,2.3929904,11.033672,3
375,Travelflex,-0.45804247,5.651564,3
376,KREDS,-0.86251223,0.9125293,3
378,BiblePay,2.8465328,9.095962,3
379,LitecoinCash,8.614725,5.5871253,3
380,BitFlip,7.4253955,4.2779417,3
381,LottoCoin,1.983734,11.040865,3
384,Poa Network,10.592441,3.43017,3
389,Callisto Network,5.259275,18.405697,3
390,BitTube,22.40497,9.891567,3
391,Poseidon,7.70852,2.9290721,3
392,Aidos Kuneen,6.137718,7.9539924,3
396,Bitrolium,12.840705,15.548938,3
398,Alpenschillling,8.301035,12.457582,3
406,Monero Classic,21.981228,9.26824,3
407,Proton,2.111244,-2.8352153,3
410,Infinex,11.217794,9.065457,3
412,KEYCO,6.137718,7.9539924,3
414,GINcoin,8.301037,12.457582,3
415,PlatinCoin,22.338005,9.964782,3
416,Loki,4.6386204,13.643638,3
417,Newton Coin,21.129187,9.683455,3
420,MassGrid,4.0123596,3.813518,3
422,PluraCoin,22.04633,10.021653,3
425,Lynx,-0.9294067,9.045141,3
428,Muse,12.236149,-2.53687,3
429,Motion,2.1093473,-2.7957282,3
430,PlusOneCoin,6.137718,7.9539924,3
432,Trivechain,2.0541186,-2.8607905,3
436,Absolute Coin,-0.93477625,0.8505264,3
438,HexCoin,7.670008,2.7440984,3
440,Webchain,0.7041262,15.009579,3
441,Ryo,8.65343,6.8491325,3
443,Qwertycoin,4.6381116,13.641982,3
454,Xchange,2.109347,-2.7957287,3
455,Acute Angle Cloud,5.6196094,2.3390741,3
456,CrypticCoin,12.872943,15.517133,3
458,Actinium,8.301037,12.4575815,3
462,FREDEnergy,21.885473,9.917571,3
466,PirateCash,13.464002,15.760057,3
467,Exosis,6.137718,7.9539924,3
468,Block-Logic,5.2870917,6.401626,3
470,Beam,12.841374,15.548644,3
472,Bithereum,12.840622,15.548992,3
