,CoinName,0,1,class
3,Bitcoin,16.233997,-24.870926,0
12,BitcoinDark,11.8019905,-27.075743,0
13,PayCoin,11.839924,-22.736507,0
22,ZetaCoin,15.612501,-24.615925,0
26,QuarkCoin,-0.52319676,-16.252441,0
37,DevCoin,15.845918,-23.7829,0
42,Exclusive Coin,16.750916,-9.816458,0
53,IXcoin,15.9311075,-25.229351,0
60,MintCoin,8.1148615,-9.391294,0
62,MazaCoin,12.034027,-26.39741,0
63,Nautilus Coin,7.4398947,-10.063576,0
66,Namecoin,15.505287,-25.300571,0
78,SysCoin,15.351029,-24.037811,0
80,TigerCoin,15.758584,-25.29878,0
83,TerraCoin,15.117542,-25.027258,0
84,UnbreakableCoin,14.970142,-24.400576,0
85,Unobtanium,15.21337,-24.059828,0
95,JouleCoin,14.971103,-24.393324,0
101,StorjCoin,8.151581,-11.357499,0
103,Neutron,11.961233,-26.364834,0
106,RubyCoin,7.348221,-9.267743,0
110,Dnotes,7.4550896,-9.220829,0
124,SoonCoin,15.354184,-25.225063,0
130,Anarchists Prime,14.970639,-24.814144,0
136,Diggits,7.525463,-10.096085,0
140,Emercoin,11.532016,-26.50089,0
143,I0coin,16.223587,-24.346006,0
147,EDRCoin,12.0335045,-27.05022,0
150,DubaiCoin,12.16185,-26.931952,0
151,CarpeDiemCoin,15.86368,-23.746847,0
154,GPU Coin,7.150594,-9.640644,0
160,ZeitCoin,8.017755,-8.579138,0
161,SwingCoin,11.537472,-26.890533,0
163,Nebuchadnezzar,16.951292,-10.046478,0
167,Revenu,11.479767,-26.682919,0
168,Clockcoin,11.52768,-26.870821,0
183,BitTokens,11.800887,-27.07785,0
184,ZayedCoin,14.950759,-24.713028,0
190,BitCurrency,7.393447,-9.246213,0
191,DollarCoin,16.227015,-24.89396,0
195,Opair,17.345179,-10.026256,0
199,CoffeeCoin,16.754993,-9.825085,0
202,TeamUP,16.75745,-9.539714,0
212,FreeCoin,17.500036,-9.641769,0
216,Creatio,16.951292,-10.046478,0
218,Eurocoin,12.213898,-26.810163,0
226,PandaCoin,8.054805,-8.988864,0
229,Allsafe,0.07041538,-15.811175,0
235,Internet of People,12.213069,-26.76749,0
241,Zilbercoin,8.129337,-9.765644,0
250,RenosCoin,8.004462,-9.984703,0
256,Atmos,17.288332,-9.361883,0
259,MacronCoin,16.780516,-9.494184,0
264,ProCurrency,11.813744,-22.70184,0
267,GrowthCoin,8.108257,-9.645672,0
268,ILCoin,15.68284,-24.243425,0
269,Phreak,17.489899,-9.605947,0
272,Ultimate Secure Cash,11.839515,-22.736443,0
296,Signatum,6.7306275,-11.171659,0
299,Bitcoin Cash,16.30531,-24.666761,0
301,Draftcoin,7.227754,-9.857374,0
304,Stakecoin,17.136784,-9.30271,0
314,Cardano,9.179133,-8.65791,0
324,Theresa May Coin,11.682817,-26.366945,0
329,Bitcloud 2.0,-0.91821414,-15.926218,0
331,KekCoin,5.8947673,-9.932986,0
333,Infinity Economics,11.837363,-22.733139,0
348,Kalkulus,0.07041737,-15.811174,0
358,Digiwage,0.070475996,-15.811154,0
365,UnitedBitcoin,16.024797,-25.162113,0
387,Velox,7.7791424,-10.099902,0
388,Ontology,9.281824,-10.397199,0
397,MedicCoin,7.293009,-9.317546,0
399,Bitcoin Green,6.3823566,-8.384379,0
400,Deviant Coin,16.95087,-9.348162,0
402,Semux,16.603966,-21.516047,0
404,Carebit,-0.9182289,-15.926224,0
405,Zealium,17.435589,-9.930784,0
413,HollyWoodCoin,7.291573,-9.970479,0
419,Xt3ch,8.128093,-9.770589,0
426,Poseidon Quark,0.07062079,-15.811263,0
427,BitcoinWSpectrum,11.839812,-22.736357,0
433,Dystem,0.07042061,-15.811174,0
434,Giant,-0.91827226,-15.926236,0
435,Peony Coin,7.7282596,-9.170524,0
437,Vitae,0.07039547,-15.811257,0
446,MMOCoin,7.827445,-10.0849905,0
447,Ketan,17.170254,-9.307319,0
448,Project Pai,16.052588,-24.199026,0
459,Bitcoin SV,16.225185,-24.34751,0
463,HerbCoin,-0.9182611,-15.926232,0
471,Galilel,-0.9182701,-15.926235,0
473,Crypto Sports,0.07041682,-15.811174,0
481,BLAST,15.233496,-24.051712,0
483,GlobalToken,15.612888,-24.617252,0
493,NeosCoin,11.839919,-22.736504,0
498,IncaKoin,12.168384,-26.470451,0
500,Crown Coin,15.252741,-25.145758,0
507,Radium,17.183165,-10.102087,0
511,OKCash,11.673372,-26.3711,0
513,HiCoin,8.002581,-9.316452,0
522,TigerCash,11.839657,-22.73612,0
524,Particl,17.497458,-9.833518,0
526,Nxt,18.295635,-8.854529,0
527,ZEPHYR,16.423515,-22.098736,0
531,BitcoinPlus,7.148096,-9.633822,0
