,CoinName,0,1,class
0,42 Coin,-9.69252,-11.792642,2
1,404Coin,-15.003352,-6.4587545,2
2,EliteCoin,-12.375457,-20.973736,2
10,Bitshares,-0.13671158,-8.751764,2
15,KoboCoin,-17.199097,-2.8259964,2
18,Aurora Coin,-11.552723,-10.886554,2
19,BlueCoin,-14.991903,-8.045527,2
25,EnergyCoin,-13.95933,-9.815942,2
27,Riecoin,-12.67066,-0.33263555,2
29,BitBar,-9.779088,-12.014709,2
31,CryptoBullion,-10.01655,-12.280842,2
35,Diamond,-12.710755,-0.40685043,2
49,HoboNickels,-15.065447,-9.935735,2
57,MaxCoin,-8.2671385,-10.279592,2
64,NavCoin,-12.8981495,-21.563494,2
68,OpalCoin,-13.214805,-21.608475,2
70,PotCoin,-15.808442,-8.166652,2
71,PhoenixCoin,-14.772566,-10.203068,2
72,Reddcoin,-12.064807,-7.1410966,2
81,TittieCoin,-4.85286,-8.207215,2
87,UnitaryStatus Dollar,-14.495912,-6.334433,2
88,UltraCoin,-14.684654,-10.610178,2
96,StealthCoin,-13.214929,-21.592548,2
97,ZCC Coin,-16.018553,-7.0844793,2
104,FairCoin,-12.7107525,-0.40685007,2
108,Kore,-13.214959,-21.608648,2
112,8BIT Coin,-9.756576,-11.494728,2
113,Sativa Coin,-13.214795,-21.608614,2
120,Vtorrent,-11.333373,-11.24574,2
127,Nexus,-7.7686977,-9.996457,2
131,Droidz,-8.891274,-12.323545,2
138,Paycon,-12.898061,-21.563604,2
141,EverGreenCoin,-17.199106,-2.8259974,2
144,Decred,-7.645429,-4.759633,2
152,PWR Coin,-22.38968,-7.640705,2
153,BillaryCoin,-12.405011,-11.664868,2
169,VIP Tokens,-22.390478,-7.6407876,2
173,PutinCoin,-14.443187,-6.346042,2
174,iBankCoin,-12.326589,-11.905392,2
175,Frankywillcoin,-14.894271,-9.873658,2
176,MudraCoin,-12.368192,-22.586466,2
181,CarterCoin,-14.481459,-10.800915,2
186,ZoneCoin,-11.110016,-12.000106,2
188,RootCoin,-9.811733,-11.356543,2
194,BuzzCoin,-16.22466,-14.499981,2
196,PesoBit,-11.504439,-10.382523,2
200,RoyalCoin,-12.369202,-22.58775,2
203,LanaCoin,-16.224651,-14.499974,2
210,EmberCoin,-12.8569355,-21.216978,2
213,PLNCoin,-12.525309,-11.22343,2
214,AquariusCoin,-12.117225,-12.027925,2
219,BitcoinFast,-12.404304,-11.027159,2
221,BitConnect Coin,-11.846469,-11.468096,2
222,MoneyCoin,-16.288174,-8.022202,2
225,Russiacoin,-15.002753,-11.031602,2
227,GameUnits,-10.614988,-11.533799,2
228,GAKHcoin,-10.147884,-11.214789,2
234,Klingon Empire Darsek,-16.245731,-8.426089,2
237,Printerium,-11.346623,-11.234266,2
